,Date,Equipment_Type,Daily_Rate,Num_Days,Branch,Damaged,Customer_Type
46,2015-01-03,hammerdrill,30,4,Saint John,[False],['Contractor']
47,2015-01-03,draincleaner,15,4,Dartmouth,[False],['Contractor']
48,2015-01-03,5000lbforklift,450,5,Edmonton,[True],['Contractor']
49,2015-01-03,1tonexcavator,900,1,Ottawa Downtown,[False],['Contractor']
50,2015-01-03,chainsaw,50,1,Saint John,[False],['Contractor']
51,2015-01-03,30lbairbreaker,70,27,Leduc,[False],['Contractor']
52,2015-01-03,draincleaner,15,2,Brossard,[False],['Contractor']
53,2015-01-03,hammerdrill,30,2,Brossard,[True],['Contractor']
54,2015-01-03,100kwgenerator,900,4,Barrie,[False],['Individual']
55,2015-01-03,1tonexcavator,900,40,Ottawa Downtown,[False],['Contractor']
56,2015-01-03,finishnailer,40,3,Taber,[False],['Contractor']
57,2015-01-03,2tonexcavator,700,1,Bolton,[False],['Contractor']
58,2015-01-03,jigsaw,25,1,Brossard,[False],['Individual']
59,2015-01-03,recipsaw,30,2,Saint John,[False],['Contractor']
60,2015-01-03,3000wgenerator,200,6,Edmonton,[False],['Contractor']
61,2015-01-03,recipsaw,30,2,Saint John,[False],['Individual']
62,2015-01-03,lawnroller,20,24,Lethbridge,[False],['Contractor']
63,2015-01-03,recipsaw,30,1,Lethbridge,[False],['Contractor']
64,2015-01-03,45ftboomlift,450,3,Oshawa,[False],['Contractor']
65,2015-01-03,12ftscissorlift,250,45,Vancouver,[False],['Contractor']
66,2015-01-04,grinder,30,2,Brossard,[False],['Individual']
67,2015-01-04,revplatecompactor,225,3,Ottawa Nepean,[False],['Individual']
68,2015-01-04,chainsaw,50,20,Leduc,[False],['Contractor']
69,2015-01-04,jigsaw,25,8,Saint John,[True],['Staff']
70,2015-01-04,draincleaner,15,2,Brossard,[False],['Individual']
71,2015-01-04,hammerdrill,30,1,Dartmouth,[False],['Individual']
72,2015-01-04,trenchroller,400,1,Taber,[False],['Contractor']
73,2015-01-04,chainsaw,50,1,Leduc,[False],['Contractor']
74,2015-01-04,34ftboomlift,400,2,Oshawa,[False],['Contractor']
75,2015-01-04,10ftcrowdfence,25,13,Toronto,[False],['Contractor']
76,2015-01-04,chainsaw,50,9,Taber,[False],['Individual']
77,2015-01-04,84smoothroller,850,4,Dartmouth,[False],['Contractor']
78,2015-01-04,34ftboomlift,400,4,Bracebridge,[False],['Contractor']
79,2015-01-04,3000wgenerator,200,3,Bolton,[False],['Contractor']
80,2015-01-04,trenchroller,400,9,Edmonton,[False],['Contractor']
81,2015-01-04,jigsaw,25,4,Langley,[False],['Contractor']
82,2015-01-04,100kwgenerator,900,5,Ottawa Downtown,[False],['Contractor']
83,2015-01-04,5000lbforklift,450,24,Ottawa Nepean,[False],['Contractor']
84,2015-01-04,1000psiwasher,75,5,Edmonton,[False],['Contractor']
85,2015-01-04,hammerdrill,30,2,Dartmouth,[False],['Staff']
86,2015-01-04,45ftboomlift,450,5,St-Laurent,[False],['Contractor']
87,2015-01-04,trenchroller,400,2,Lethbridge,[False],['Contractor']
88,2015-01-04,30lbairbreaker,70,5,Langley,[False],['Contractor']
89,2015-01-04,vortexfan,50,4,Medicine Hat,[False],['Contractor']
90,2015-01-04,17lbairbreaker,60,9,Chilliwack,[False],['Individual']
91,2015-01-04,hardwoodnailer,50,3,Dartmouth,[False],['Individual']
92,2015-01-05,10ftcrowdfence,25,2,Edmonton,[False],['Contractor']
93,2015-01-05,finishnailer,40,40,Ottawa Nepean,[False],['Contractor']
94,2015-01-05,30lbairbreaker,70,6,Brossard,[False],['Contractor']
95,2015-01-05,8drumsander,75,31,Taber,[False],['Individual']
96,2015-01-05,circularsaw,30,4,Saint John,[False],['Contractor']
97,2015-01-05,circularsaw,30,2,Saint John,[False],['Contractor']
98,2015-01-05,draincleaner,15,4,Dartmouth,[False],['Individual']
99,2015-01-05,impactwrench,40,4,Leduc,[False],['Contractor']
100,2015-01-05,pedestalfan,30,8,Kitchener,[False],['Contractor']
101,2015-01-05,17lbairbreaker,60,1,Ottawa Nepean,[False],['Contractor']
102,2015-01-05,beltsander,30,2,Edmonton,[False],['Contractor']
103,2015-01-05,impactwrench,40,3,Bracebridge,[False],['Contractor']
104,2015-01-05,pedestalfan,30,5,Vancouver,[False],['Contractor']
105,2015-01-05,hammerdrill,30,21,Medicine Hat,[False],['Contractor']
106,2015-01-05,roofnailer,40,4,Lethbridge,[False],['Contractor']
107,2015-01-05,10kwgenerator,500,4,Bolton,[False],['Contractor']
108,2015-01-05,recipsaw,30,48,Dartmouth,[False],['Individual']
109,2015-01-05,hardwoodnailer,50,4,Brossard,[True],['Contractor']
110,2015-01-05,jigsaw,25,5,Saint John,[True],['Individual']
111,2015-01-05,roofnailer,40,30,Edmonton,[False],['Contractor']
112,2015-01-05,hardwoodnailer,50,2,Brossard,[False],['Contractor']
113,2015-01-05,revplatecompactor,225,11,Mississauga,[False],['Contractor']
114,2015-01-05,10ftscissorlift,200,31,Edmonton,[False],['Contractor']
115,2015-01-05,recipsaw,30,1,Lethbridge,[False],['Individual']
116,2015-01-05,40fttelehandler,750,29,Oshawa,[False],['Contractor']
117,2015-01-05,grinder,30,1,Taber,[False],['Contractor']
118,2015-01-06,beltsander,30,24,Taber,[False],['Contractor']
119,2015-01-06,grinder,30,6,Taber,[False],['Contractor']
120,2015-01-06,circularsaw,30,5,Medicine Hat,[False],['Contractor']
121,2015-01-06,19fttelehandler,600,5,Kitchener,[False],['Contractor']
122,2015-01-06,hardwoodnailer,50,14,Dartmouth,[False],['Individual']
123,2015-01-06,grinder,30,3,Langley,[False],['Contractor']
124,2015-01-06,45ftboomlift,450,1,Surrey,[False],['Contractor']
125,2015-01-06,100kwgenerator,900,1,Edmonton,[False],['Contractor']
126,2015-01-06,5000lbforklift,450,34,Calgary,[False],['Contractor']
127,2015-01-06,5000lbforklift,450,3,St-Laurent,[False],['Contractor']
128,2015-01-06,jigsaw,25,10,Dartmouth,[False],['Individual']
129,2015-01-06,40fttelehandler,750,5,Langley,[False],['Contractor']
130,2015-01-06,platecompactor,200,24,Ottawa East,[False],['Individual']
131,2015-01-06,trenchroller,400,19,Anjou,[False],['Individual']
132,2015-01-06,2tonexcavator,700,9,Anjou,[False],['Contractor']
133,2015-01-06,40fttelehandler,750,17,Calgary,[False],['Individual']
134,2015-01-06,40fttelehandler,750,9,Saint John,[False],['Contractor']
135,2015-01-06,16ftscissorlift,300,2,Kitchener,[False],['Contractor']
136,2015-01-06,8drumsander,75,1,Brossard,[False],['Individual']
137,2015-01-06,grinder,30,3,Chilliwack,[False],['Contractor']
138,2015-01-07,2tonexcavator,700,2,Barrie,[False],['Contractor']
139,2015-01-07,40fttelehandler,750,5,Lethbridge,[False],['Contractor']
140,2015-01-07,lawnroller,20,2,Saint John,[False],['Individual']
141,2015-01-07,impactwrench,40,16,Medicine Hat,[False],['Contractor']
142,2015-01-07,draincleaner,15,1,Saint John,[False],['Contractor']
143,2015-01-07,jigsaw,25,28,Langley,[False],['Contractor']
144,2015-01-07,circularsaw,30,5,Dartmouth,[False],['Staff']
145,2015-01-07,10ftscissorlift,200,2,Saint John,[False],['Contractor']
146,2015-01-07,1tonexcavator,900,5,Mississauga,[False],['Contractor']
147,2015-01-07,trenchroller,400,5,Toronto,[False],['Contractor']
148,2015-01-07,platecompactor,200,1,Saint John,[False],['Contractor']
149,2015-01-07,impactwrench,40,18,Brossard,[False],['Individual']
150,2015-01-07,16ftscissorlift,300,49,Oshawa,[False],['Individual']
151,2015-01-07,16ftscissorlift,300,5,Edmonton,[False],['Individual']
152,2015-01-07,3000wgenerator,200,4,Leduc,[False],['Individual']
153,2015-01-07,revplatecompactor,225,46,Vancouver,[False],['Contractor']
154,2015-01-07,40smoothroller,500,1,Mississauga,[False],['Individual']
155,2015-01-07,100kwgenerator,900,5,Langley,[False],['Individual']
156,2015-01-07,1000psiwasher,75,2,Leduc,[False],['Contractor']
157,2015-01-07,jigsaw,25,35,Maple Ridge,[False],['Contractor']
158,2015-01-07,8drumsander,75,15,Maple Ridge,[False],['Contractor']
159,2015-01-07,34ftboomlift,400,42,Ottawa Downtown,[False],['Contractor']
160,2015-01-07,recipsaw,30,1,Brossard,[False],['Individual']
161,2015-01-07,circularsaw,30,1,Medicine Hat,[False],['Contractor']
162,2015-01-07,2tonexcavator,700,31,Barrie,[False],['Contractor']
163,2015-01-07,beltsander,30,4,Dartmouth,[False],['Contractor']
164,2015-01-08,30ftscissorlift,400,1,Bracebridge,[False],['Contractor']
165,2015-01-08,2tonexcavator,700,41,Kitchener,[False],['Contractor']
166,2015-01-08,impactwrench,40,6,Taber,[False],['Staff']
167,2015-01-08,100kwgenerator,900,47,Bolton,[False],['Contractor']
168,2015-01-08,2tonexcavator,700,4,Toronto,[False],['Contractor']
169,2015-01-08,messageboard,200,3,Ottawa Downtown,[False],['Contractor']
170,2015-01-08,trenchroller,400,9,Ottawa East,[False],['Contractor']
171,2015-01-08,beltsander,30,3,Taber,[False],['Contractor']
172,2015-01-08,jumpingjack,80,5,Toronto,[False],['Contractor']
173,2015-01-08,platecompactor,200,4,Ottawa Nepean,[False],['Contractor']
174,2015-01-08,30ftscissorlift,400,4,Barrie,[False],['Individual']
175,2015-01-08,19fttelehandler,600,10,Vancouver,[False],['Contractor']
176,2015-01-08,19fttelehandler,600,3,Mississauga,[False],['Contractor']
177,2015-01-08,lawnroller,20,5,Dartmouth,[False],['Individual']
178,2015-01-09,10fteasyfence,25,1,Medicine Hat,[True],['Contractor']
179,2015-01-09,trenchroller,400,3,Edmonton,[False],['Contractor']
180,2015-01-09,pedestalfan,30,46,Vancouver,[False],['Contractor']
181,2015-01-09,100kwgenerator,900,4,Bolton,[False],['Contractor']
182,2015-01-09,66padroller,700,45,Vancouver,[False],['Individual']
183,2015-01-09,10ftcrowdfence,25,1,Chilliwack,[False],['Contractor']
184,2015-01-09,40fttelehandler,750,3,Mississauga,[False],['Individual']
185,2015-01-09,5000lbforklift,450,1,Kitchener,[False],['Contractor']
186,2015-01-09,lawnroller,20,25,Bolton,[False],['Contractor']
187,2015-01-09,10fteasyfence,25,9,Vancouver,[False],['Contractor']
188,2015-01-09,30ftscissorlift,400,30,Bolton,[False],['Contractor']
189,2015-01-09,circularsaw,30,2,Brossard,[False],['Contractor']
190,2015-01-09,30lbairbreaker,70,37,Medicine Hat,[False],['Contractor']
191,2015-01-09,lawnroller,20,46,Langley,[False],['Contractor']
192,2015-01-09,1tonexcavator,900,12,Ottawa Downtown,[False],['Contractor']
193,2015-01-09,hammerdrill,30,2,Saint John,[False],['Individual']
194,2015-01-09,pedestalfan,30,9,Kitchener,[False],['Contractor']
195,2015-01-09,1000psiwasher,75,5,Anjou,[False],['Contractor']
196,2015-01-09,5000lbforklift,450,37,Ottawa Downtown,[False],['Contractor']
197,2015-01-09,hardwoodnailer,50,12,Lethbridge,[False],['Individual']
198,2015-01-09,10ftcrowdfence,25,4,Ottawa Downtown,[False],['Contractor']
199,2015-01-10,messageboard,200,6,Brossard,[False],['Contractor']
200,2015-01-10,84smoothroller,850,1,Lethbridge,[False],['Contractor']
201,2015-01-10,vortexfan,50,5,Mississauga,[False],['Contractor']
202,2015-01-10,16ftscissorlift,300,5,Chilliwack,[False],['Contractor']
203,2015-01-10,5tonexcavator,1300,50,Bracebridge,[False],['Individual']
204,2015-01-10,1tonexcavator,900,2,Ottawa Downtown,[False],['Contractor']
205,2015-01-10,84smoothroller,850,3,Anjou,[False],['Contractor']
206,2015-01-10,1tonexcavator,900,7,Oshawa,[False],['Contractor']
207,2015-01-10,platecompactor,200,4,Ottawa Downtown,[True],['Individual']
208,2015-01-10,1000psiwasher,75,5,Lethbridge,[False],['Contractor']
209,2015-01-10,45ftboomlift,450,2,Ottawa East,[False],['Contractor']
210,2015-01-10,40fttelehandler,750,1,Barrie,[False],['Contractor']
211,2015-01-10,chainsaw,50,1,Brossard,[False],['Contractor']
212,2015-01-10,19fttelehandler,600,4,Bolton,[False],['Contractor']
213,2015-01-10,chainsaw,50,3,Chilliwack,[False],['Contractor']
214,2015-01-10,pedestalfan,30,6,Barrie,[False],['Contractor']
215,2015-01-10,10ftcrowdfence,25,15,St-Laurent,[False],['Contractor']
216,2015-01-10,40fttelehandler,750,5,Barrie,[False],['Contractor']
217,2015-01-10,30lbairbreaker,70,20,Brossard,[False],['Individual']
218,2015-01-10,messageboard,200,33,Ottawa Nepean,[False],['Contractor']
219,2015-01-10,10kwgenerator,500,5,Calgary,[False],['Individual']
220,2015-01-10,30ftscissorlift,400,20,Edmonton,[False],['Contractor']
221,2015-01-11,grinder,30,5,Brossard,[False],['Contractor']
222,2015-01-11,jigsaw,25,2,Langley,[False],['Individual']
223,2015-01-11,5000lbforklift,450,2,Surrey,[False],['Contractor']
224,2015-01-11,19fttelehandler,600,23,Edmonton,[False],['Contractor']
225,2015-01-11,16ftscissorlift,300,2,Langley,[True],['Contractor']
226,2015-01-11,grinder,30,14,Lethbridge,[False],['Individual']
227,2015-01-11,jigsaw,25,36,Leduc,[False],['Individual']
228,2015-01-11,100kwgenerator,900,1,Dartmouth,[False],['Contractor']
229,2015-01-11,16ftscissorlift,300,32,Oshawa,[False],['Individual']
230,2015-01-11,circularsaw,30,4,Medicine Hat,[False],['Contractor']
231,2015-01-11,roofnailer,40,1,Edmonton,[False],['Contractor']
232,2015-01-11,revplatecompactor,225,35,Ottawa Nepean,[False],['Contractor']
233,2015-01-11,messageboard,200,7,Oshawa,[False],['Contractor']
234,2015-01-11,pedestalfan,30,5,St-Laurent,[True],['Contractor']
235,2015-01-11,10fteasyfence,25,42,Ottawa Nepean,[False],['Contractor']
236,2015-01-11,trenchroller,400,1,Kitchener,[False],['Individual']
237,2015-01-11,messageboard,200,1,Vancouver,[False],['Contractor']
238,2015-01-11,lawnroller,20,1,Saint John,[False],['Staff']
239,2015-01-11,66padroller,700,5,Ottawa Downtown,[False],['Contractor']
240,2015-01-11,10kwgenerator,500,6,Toronto,[False],['Contractor']
241,2015-01-11,2tonexcavator,700,3,Kitchener,[False],['Contractor']
242,2015-01-11,8drumsander,75,1,Saint John,[False],['Contractor']
243,2015-01-11,messageboard,200,23,Barrie,[False],['Contractor']
244,2015-01-11,8drumsander,75,4,Langley,[False],['Individual']
245,2015-01-11,66padroller,700,1,Anjou,[False],['Contractor']
246,2015-01-11,2tonexcavator,700,1,Ottawa Downtown,[False],['Contractor']
247,2015-01-11,10ftcrowdfence,25,5,Taber,[False],['Contractor']
248,2015-01-11,17lbairbreaker,60,40,Maple Ridge,[False],['Contractor']
249,2015-01-11,100kwgenerator,900,5,Kitchener,[False],['Individual']
250,2015-01-12,30ftscissorlift,400,4,Saint John,[False],['Contractor']
251,2015-01-12,trenchroller,400,3,Chilliwack,[False],['Contractor']
252,2015-01-12,8drumsander,75,45,Taber,[False],['Individual']
253,2015-01-12,17lbairbreaker,60,32,Medicine Hat,[False],['Contractor']
254,2015-01-12,recipsaw,30,1,Dartmouth,[False],['Contractor']
255,2015-01-12,12ftscissorlift,250,11,Mississauga,[False],['Contractor']
256,2015-01-12,impactwrench,40,43,Bolton,[False],['Contractor']
257,2015-01-12,jigsaw,25,1,Brossard,[False],['Contractor']
258,2015-01-12,revplatecompactor,225,33,Ottawa Nepean,[False],['Individual']
259,2015-01-12,5tonexcavator,1300,3,Leduc,[False],['Contractor']
260,2015-01-12,circularsaw,30,5,Medicine Hat,[False],['Contractor']
261,2015-01-12,trenchroller,400,4,Kitchener,[True],['Contractor']
262,2015-01-12,pedestalfan,30,25,Bracebridge,[False],['Individual']
263,2015-01-12,12ftscissorlift,250,5,Anjou,[False],['Contractor']
264,2015-01-12,10fteasyfence,25,1,Surrey,[False],['Contractor']
265,2015-01-12,17lbairbreaker,60,4,Chilliwack,[False],['Contractor']
266,2015-01-12,40fttelehandler,750,2,Ottawa Downtown,[False],['Contractor']
267,2015-01-12,lawnroller,20,1,Saint John,[False],['Staff']
268,2015-01-12,1tonexcavator,900,2,Lethbridge,[False],['Contractor']
269,2015-01-12,10ftcrowdfence,25,4,Edmonton,[False],['Contractor']
270,2015-01-12,recipsaw,30,7,Taber,[False],['Individual']
271,2015-01-12,messageboard,200,8,Oshawa,[False],['Contractor']
272,2015-01-12,10ftscissorlift,200,47,St-Laurent,[False],['Individual']
273,2015-01-12,hammerdrill,30,2,Brossard,[False],['Individual']
274,2015-01-13,hammerdrill,30,1,Leduc,[False],['Individual']
275,2015-01-13,10ftcrowdfence,25,1,Calgary,[False],['Contractor']
276,2015-01-13,draincleaner,15,1,Brossard,[False],['Contractor']
277,2015-01-13,jigsaw,25,1,Dartmouth,[False],['Contractor']
278,2015-01-13,17lbairbreaker,60,3,Brossard,[False],['Staff']
279,2015-01-13,vortexfan,50,4,St-Laurent,[False],['Contractor']
280,2015-01-13,lawnroller,20,11,Taber,[False],['Individual']
281,2015-01-13,hardwoodnailer,50,5,Saint John,[False],['Contractor']
282,2015-01-13,30lbairbreaker,70,1,Taber,[False],['Contractor']
283,2015-01-13,pedestalfan,30,1,Anjou,[False],['Contractor']
284,2015-01-13,jigsaw,25,2,Saint John,[False],['Individual']
285,2015-01-13,revplatecompactor,225,1,Toronto,[False],['Contractor']
286,2015-01-13,8drumsander,75,30,Saint John,[False],['Individual']
287,2015-01-13,1tonexcavator,900,6,Ottawa Downtown,[False],['Contractor']
288,2015-01-13,trenchroller,400,1,Toronto,[False],['Contractor']
289,2015-01-13,100kwgenerator,900,5,Dartmouth,[False],['Contractor']
290,2015-01-13,84smoothroller,850,1,Brossard,[False],['Contractor']
291,2015-01-14,lawnroller,20,22,Saint John,[False],['Contractor']
292,2015-01-14,16ftscissorlift,300,30,Calgary,[False],['Individual']
293,2015-01-14,chainsaw,50,37,Taber,[False],['Contractor']
294,2015-01-14,5tonexcavator,1300,24,Ottawa Nepean,[False],['Individual']
295,2015-01-14,34ftboomlift,400,4,Toronto,[False],['Individual']
296,2015-01-14,hardwoodnailer,50,4,Surrey,[True],['Individual']
297,2015-01-14,platecompactor,200,46,Edmonton,[False],['Contractor']
298,2015-01-14,hardwoodnailer,50,3,Barrie,[False],['Contractor']
299,2015-01-14,3000wgenerator,200,1,Saint John,[False],['Contractor']
300,2015-01-14,30lbairbreaker,70,2,Saint John,[False],['Contractor']
301,2015-01-14,jigsaw,25,1,Dartmouth,[False],['Staff']
302,2015-01-14,chainsaw,50,2,Saint John,[False],['Individual']
303,2015-01-14,5000lbforklift,450,6,Dartmouth,[False],['Contractor']
304,2015-01-14,2tonexcavator,700,41,Barrie,[False],['Contractor']
305,2015-01-14,10ftcrowdfence,25,4,Barrie,[False],['Contractor']
306,2015-01-15,40smoothroller,500,4,Bolton,[False],['Contractor']
307,2015-01-15,17lbairbreaker,60,7,Chilliwack,[False],['Contractor']
308,2015-01-15,chainsaw,50,21,Taber,[False],['Individual']
309,2015-01-15,10ftcrowdfence,25,4,St-Laurent,[False],['Contractor']
310,2015-01-15,chainsaw,50,41,Medicine Hat,[False],['Contractor']
311,2015-01-15,vortexfan,50,8,Taber,[False],['Contractor']
312,2015-01-15,10kwgenerator,500,3,Ottawa Downtown,[False],['Contractor']
313,2015-01-15,84smoothroller,850,41,Edmonton,[False],['Contractor']
314,2015-01-15,5000lbforklift,450,43,Oshawa,[False],['Individual']
315,2015-01-15,chainsaw,50,13,Lethbridge,[False],['Contractor']
316,2015-01-15,draincleaner,15,2,Dartmouth,[False],['Contractor']
317,2015-01-15,8drumsander,75,6,Brossard,[False],['Contractor']
318,2015-01-15,beltsander,30,3,Edmonton,[False],['Contractor']
319,2015-01-15,40smoothroller,500,4,Oshawa,[False],['Contractor']
320,2015-01-15,beltsander,30,1,Taber,[False],['Contractor']
321,2015-01-15,chainsaw,50,1,Ottawa Downtown,[False],['Contractor']
322,2015-01-15,vortexfan,50,1,Mississauga,[False],['Contractor']
323,2015-01-15,10ftscissorlift,200,2,Barrie,[False],['Contractor']
324,2015-01-15,8drumsander,75,12,Chilliwack,[False],['Individual']
325,2015-01-15,pedestalfan,30,8,Oshawa,[False],['Contractor']
326,2015-01-15,1tonexcavator,900,16,Ottawa East,[False],['Contractor']
327,2015-01-16,finishnailer,40,39,Edmonton,[False],['Individual']
328,2015-01-16,10ftcrowdfence,25,1,Brossard,[False],['Contractor']
329,2015-01-16,platecompactor,200,2,Mississauga,[False],['Contractor']
330,2015-01-16,10fteasyfence,25,41,Kitchener,[False],['Contractor']
331,2015-01-16,circularsaw,30,41,St-Laurent,[False],['Contractor']
332,2015-01-16,8drumsander,75,35,Ottawa Nepean,[False],['Contractor']
333,2015-01-16,messageboard,200,2,Anjou,[False],['Contractor']
334,2015-01-16,12ftscissorlift,250,1,Brossard,[False],['Contractor']
335,2015-01-16,circularsaw,30,1,Saint John,[True],['Contractor']
336,2015-01-16,10kwgenerator,500,16,Bolton,[False],['Contractor']
337,2015-01-16,10ftscissorlift,200,4,Oshawa,[False],['Contractor']
338,2015-01-16,5tonexcavator,1300,18,Edmonton,[False],['Contractor']
339,2015-01-16,roofnailer,40,7,Edmonton,[False],['Contractor']
340,2015-01-16,hammerdrill,30,28,Langley,[False],['Individual']
341,2015-01-16,10kwgenerator,500,1,St-Laurent,[False],['Contractor']
342,2015-01-16,impactwrench,40,3,Langley,[False],['Contractor']
343,2015-01-16,trenchroller,400,22,Toronto,[False],['Contractor']
344,2015-01-16,10kwgenerator,500,21,Edmonton,[False],['Individual']
345,2015-01-16,impactwrench,40,26,Chilliwack,[False],['Contractor']
346,2015-01-16,grinder,30,4,Langley,[False],['Individual']
347,2015-01-16,finishnailer,40,6,Taber,[False],['Contractor']
348,2015-01-17,1tonexcavator,900,1,Kitchener,[False],['Contractor']
349,2015-01-17,vortexfan,50,4,Calgary,[False],['Contractor']
350,2015-01-17,beltsander,30,5,Vancouver,[False],['Contractor']
351,2015-01-17,jigsaw,25,31,Saint John,[False],['Individual']
352,2015-01-17,5000lbforklift,450,6,Vancouver,[False],['Contractor']
353,2015-01-17,trenchroller,400,1,Ottawa East,[False],['Contractor']
354,2015-01-17,lawnroller,20,1,Saint John,[False],['Individual']
355,2015-01-17,circularsaw,30,2,Dartmouth,[False],['Contractor']
356,2015-01-17,30lbairbreaker,70,7,Langley,[False],['Contractor']
357,2015-01-17,40smoothroller,500,45,Bracebridge,[False],['Individual']
358,2015-01-17,8drumsander,75,34,Lethbridge,[False],['Contractor']
359,2015-01-17,1000psiwasher,75,3,Bolton,[False],['Contractor']
360,2015-01-17,40fttelehandler,750,4,Barrie,[False],['Contractor']
361,2015-01-17,messageboard,200,6,Leduc,[False],['Contractor']
362,2015-01-17,vortexfan,50,9,Ottawa Downtown,[False],['Individual']
363,2015-01-17,hammerdrill,30,3,Medicine Hat,[False],['Contractor']
364,2015-01-17,chainsaw,50,1,Saint John,[False],['Individual']
365,2015-01-17,messageboard,200,22,Calgary,[False],['Individual']
366,2015-01-18,40smoothroller,500,1,Langley,[False],['Contractor']
367,2015-01-18,17lbairbreaker,60,30,Lethbridge,[False],['Contractor']
368,2015-01-18,30ftscissorlift,400,1,Bracebridge,[False],['Contractor']
369,2015-01-18,1tonexcavator,900,1,Kitchener,[False],['Contractor']
370,2015-01-18,3000wgenerator,200,5,Toronto,[False],['Contractor']
371,2015-01-18,circularsaw,30,39,Dartmouth,[False],['Individual']
372,2015-01-18,messageboard,200,2,Kitchener,[False],['Contractor']
373,2015-01-18,messageboard,200,13,Ottawa Nepean,[False],['Contractor']
374,2015-01-18,40smoothroller,500,4,Ottawa East,[False],['Staff']
375,2015-01-18,hammerdrill,30,44,Langley,[False],['Contractor']
376,2015-01-18,3000wgenerator,200,4,Anjou,[False],['Contractor']
377,2015-01-18,8drumsander,75,2,Brossard,[False],['Individual']
378,2015-01-18,chainsaw,50,16,Lethbridge,[False],['Contractor']
379,2015-01-18,trenchroller,400,10,Barrie,[False],['Contractor']
380,2015-01-18,lawnroller,20,17,Leduc,[False],['Individual']
381,2015-01-18,beltsander,30,3,Dartmouth,[False],['Contractor']
382,2015-01-18,circularsaw,30,43,Medicine Hat,[False],['Individual']
383,2015-01-18,45ftboomlift,450,1,Calgary,[False],['Individual']
384,2015-01-18,10fteasyfence,25,4,Toronto,[False],['Contractor']
385,2015-01-18,circularsaw,30,3,Taber,[False],['Contractor']
386,2015-01-18,circularsaw,30,23,Ottawa Downtown,[False],['Individual']
